team_name,team_total_prize,number_of_tournaments,game,game_genre
Royal Never Give Up,166486.32,11,Heroes of the Storm,Multiplayer Online Battle Arena
SK Gaming,164747.85,40,Heroes of the Storm,Multiplayer Online Battle Arena
Invictus Gaming,159981.3,17,Heroes of the Storm,Multiplayer Online Battle Arena
Chinese National Team,138138.25,5,Heroes of the Storm,Multiplayer Online Battle Arena
Suning,136050,8,Heroes of the Storm,Multiplayer Online Battle Arena
Solary,135138.11,16,Heroes of the Storm,Multiplayer Online Battle Arena
American National Team,130949.95,5,Heroes of the Storm,Multiplayer Online Battle Arena
Luminosity Gaming,129200.35,22,Heroes of the Storm,Multiplayer Online Battle Arena
Team Gamer Sensei,125255.28,9,Heroes of the Storm,Multiplayer Online Battle Arena
ahq e-Sports Club,119902.72,15,Heroes of the Storm,Multiplayer Online Battle Arena
J Team,118745,1,Heroes of the Storm,Multiplayer Online Battle Arena
Fade 2 Karma,110512.34,45,Heroes of the Storm,Multiplayer Online Battle Arena
Illuminar Gaming,104994.51,16,Heroes of the Storm,Multiplayer Online Battle Arena
Newbee,102409.46,20,Heroes of the Storm,Multiplayer Online Battle Arena
World Elite,97445,21,Heroes of the Storm,Multiplayer Online Battle Arena
Team SoloMid,88550,36,Heroes of the Storm,Multiplayer Online Battle Arena
Vitality,83143.33,31,Heroes of the Storm,Multiplayer Online Battle Arena
Team Dignitas,81520.49,36,Heroes of the Storm,Multiplayer Online Battle Arena
Czech National Team,67400,3,Heroes of the Storm,Multiplayer Online Battle Arena
ROOT Gaming,67193.85,18,Heroes of the Storm,Multiplayer Online Battle Arena
Arma Team,61549.29,34,Heroes of the Storm,Multiplayer Online Battle Arena
NRG Esports,58125,8,Heroes of the Storm,Multiplayer Online Battle Arena
TongFu,57191.43,10,Heroes of the Storm,Multiplayer Online Battle Arena
Escape Gaming,53125,3,Heroes of the Storm,Multiplayer Online Battle Arena
Ukranian National Team,52625,3,Heroes of the Storm,Multiplayer Online Battle Arena
Omnislash,48072.83,10,Heroes of the Storm,Multiplayer Online Battle Arena
eSuba,45882.58,25,Heroes of the Storm,Multiplayer Online Battle Arena
Brazilian National Team,45625,3,Heroes of the Storm,Multiplayer Online Battle Arena
Radiance,44375,12,Heroes of the Storm,Multiplayer Online Battle Arena
New Zealand National Team,39000,3,Heroes of the Storm,Multiplayer Online Battle Arena
Wayi Spider,38613.91,12,Heroes of the Storm,Multiplayer Online Battle Arena
Team Hearthlytics,37510,13,Heroes of the Storm,Multiplayer Online Battle Arena
Norweigan National Team,37000,3,Heroes of the Storm,Multiplayer Online Battle Arena
Team Curse,35084.18,9,Heroes of the Storm,Multiplayer Online Battle Arena
Spacestation Gaming,33900,10,Heroes of the Storm,Multiplayer Online Battle Arena
Team Oplon,32500,1,Heroes of the Storm,Multiplayer Online Battle Arena
Hong Kong National Team,31500,3,Heroes of the Storm,Multiplayer Online Battle Arena
Sentinels,29900,17,Heroes of the Storm,Multiplayer Online Battle Arena
Meet Your Makers,29133.76,29,Heroes of the Storm,Multiplayer Online Battle Arena
Danish National Team,28000,3,Heroes of the Storm,Multiplayer Online Battle Arena
Konix eSport,27250,1,Heroes of the Storm,Multiplayer Online Battle Arena
British National Team,26000,3,Heroes of the Storm,Multiplayer Online Battle Arena
Korean National Team,25025,3,Heroes of the Storm,Multiplayer Online Battle Arena
Bulgarian National Team,24000,2,Heroes of the Storm,Multiplayer Online Battle Arena
Raise Your Edge Gaming,22750,11,Heroes of the Storm,Multiplayer Online Battle Arena
Counter Logic Gaming,22668.38,3,Heroes of the Storm,Multiplayer Online Battle Arena
Kyoto eSports,22315.7,11,Heroes of the Storm,Multiplayer Online Battle Arena
Misfits,22249.58,9,Heroes of the Storm,Multiplayer Online Battle Arena
Team Phantasma,21975,8,Heroes of the Storm,Multiplayer Online Battle Arena
ANOX,20836.94,4,Heroes of the Storm,Multiplayer Online Battle Arena
EDward Gaming,20445.27,6,Heroes of the Storm,Multiplayer Online Battle Arena
Big3,18683.42,7,Heroes of the Storm,Multiplayer Online Battle Arena
Vicious Syndicate Gaming,16925,10,Heroes of the Storm,Multiplayer Online Battle Arena
Singaporian National Team,16625,3,Heroes of the Storm,Multiplayer Online Battle Arena
Spanish National Team,16625,3,Heroes of the Storm,Multiplayer Online Battle Arena
Portugese National Team,16000,2,Heroes of the Storm,Multiplayer Online Battle Arena
Japanese National Team,15500,3,Heroes of the Storm,Multiplayer Online Battle Arena
Dutch National Team,14625,3,Heroes of the Storm,Multiplayer Online Battle Arena
PENTA Sports,14073.29,10,Heroes of the Storm,Multiplayer Online Battle Arena
Team Singularity,13250,5,Heroes of the Storm,Multiplayer Online Battle Arena
Trig Esports,12799.81,8,Heroes of the Storm,Multiplayer Online Battle Arena
Chilean National Team,12000,2,Heroes of the Storm,Multiplayer Online Battle Arena
Swiss National Team,12000,2,Heroes of the Storm,Multiplayer Online Battle Arena
GODSENT,11750,5,Heroes of the Storm,Multiplayer Online Battle Arena
Pittsburgh Knights,11500,7,Heroes of the Storm,Multiplayer Online Battle Arena
AGO Esports,11434.16,6,Heroes of the Storm,Multiplayer Online Battle Arena
FC Barcelona,11000,5,Heroes of the Storm,Multiplayer Online Battle Arena
Valencia CF eSports,10250,2,Heroes of the Storm,Multiplayer Online Battle Arena
Mexican National Team,10200,3,Heroes of the Storm,Multiplayer Online Battle Arena
Belgian National Team,10025,3,Heroes of the Storm,Multiplayer Online Battle Arena
Canadian National Team,10025,3,Heroes of the Storm,Multiplayer Online Battle Arena
Italian National Team,10000,3,Heroes of the Storm,Multiplayer Online Battle Arena
The Gosu Crew,9718.96,3,Heroes of the Storm,Multiplayer Online Battle Arena
Greek National Team,9600,3,Heroes of the Storm,Multiplayer Online Battle Arena
German National Team,9425,3,Heroes of the Storm,Multiplayer Online Battle Arena
Thai National Team,9400,3,Heroes of the Storm,Multiplayer Online Battle Arena
Polish National Team,9025,3,Heroes of the Storm,Multiplayer Online Battle Arena
Swedish National Team,9025,3,Heroes of the Storm,Multiplayer Online Battle Arena
Romanian National Team,9000,3,Heroes of the Storm,Multiplayer Online Battle Arena
MVP,1656839.93,24,Hearthstone,Collectible Card Game
Team Dignitas,1178555.54,30,Hearthstone,Collectible Card Game
Fnatic,931148.76,39,Hearthstone,Collectible Card Game
Gen.G,700000,4,Hearthstone,Collectible Card Game
Ballistix,680000,9,Hearthstone,Collectible Card Game
eStar Gaming,638445.71,44,Hearthstone,Collectible Card Game
Tempest,544085,14,Hearthstone,Collectible Card Game
Tempo Storm,505121,41,Hearthstone,Collectible Card Game
Team Liquid,433315.75,42,Hearthstone,Collectible Card Game
Cloud9,393735.81,34,Hearthstone,Collectible Card Game
Gale Force eSports,275967,23,Hearthstone,Collectible Card Game
EDward Gaming,273145.71,38,Hearthstone,Collectible Card Game
L5,259630,7,Hearthstone,Collectible Card Game
Team Naventic,217569,10,Hearthstone,Collectible Card Game
Team expert,200677.18,5,Hearthstone,Collectible Card Game
Tricked eSports,200000,4,Hearthstone,Collectible Card Game
KSV eSports,160000,3,Hearthstone,Collectible Card Game
mYinsanity,157900,9,Hearthstone,Collectible Card Game
Natus Vincere,135273.04,20,Hearthstone,Collectible Card Game
Team No Limit,132718.55,9,Hearthstone,Collectible Card Game
X-Team,129870.69,27,Hearthstone,Collectible Card Game
Team DK,127944.58,6,Hearthstone,Collectible Card Game
Method,125000,5,Hearthstone,Collectible Card Game
Astral Authority,107500,7,Hearthstone,Collectible Card Game
Denial Esports,79500,4,Hearthstone,Collectible Card Game
Snake Esports,69315.87,7,Hearthstone,Collectible Card Game
Mindfreak,54000,6,Hearthstone,Collectible Card Game
COGnitive Gaming,50100,11,Hearthstone,Collectible Card Game
G2 Esports,47493.55,19,Hearthstone,Collectible Card Game
Misfits,40000,3,Hearthstone,Collectible Card Game
Virtus.pro,35721.36,12,Hearthstone,Collectible Card Game
Exile5,32958.73,5,Hearthstone,Collectible Card Game
RED Canids,32500,6,Hearthstone,Collectible Card Game
OMG,30456.01,7,Hearthstone,Collectible Card Game
Team Roccat,30172.96,6,Hearthstone,Collectible Card Game
compLexity Gaming,28100,15,Hearthstone,Collectible Card Game
Panda Global,22000,6,Hearthstone,Collectible Card Game
Brain Power,15000,1,Hearthstone,Collectible Card Game
Bob Question Mark,13240.19,6,Hearthstone,Collectible Card Game
Brave e-Sports,10800,2,Hearthstone,Collectible Card Game
Newbee,8919.75,8,Hearthstone,Collectible Card Game
Polish National Team,8000,1,Hearthstone,Collectible Card Game
Dark Sided,7500,1,Hearthstone,Collectible Card Game
ahq e-Sports Club,6133.56,2,Hearthstone,Collectible Card Game
CNB e-Sports Club,6002.41,7,Hearthstone,Collectible Card Game
Epsilon eSports,5000,1,Hearthstone,Collectible Card Game
Reason Gaming,5000,1,Hearthstone,Collectible Card Game
ALTERNATE aTTaX,4755.57,7,Hearthstone,Collectible Card Game
Granit Gaming,3775,10,Hearthstone,Collectible Card Game
El NeXo,3307.48,9,Hearthstone,Collectible Card Game
INTZ eSports,3250,4,Hearthstone,Collectible Card Game
SK Gaming,3075,6,Hearthstone,Collectible Card Game
Dutch National Team,3000,1,Hearthstone,Collectible Card Game
French National Team,3000,1,Hearthstone,Collectible Card Game
German National Team,3000,1,Hearthstone,Collectible Card Game
Hungarian National Team,3000,1,Hearthstone,Collectible Card Game
Italian National Team,3000,1,Hearthstone,Collectible Card Game
Russian National Team,3000,1,Hearthstone,Collectible Card Game
Swedish National Team,3000,1,Hearthstone,Collectible Card Game
Isurus Gaming,2000,1,Hearthstone,Collectible Card Game
Elevate,1600,2,Hearthstone,Collectible Card Game
Belgian National Team,1500,1,Hearthstone,Collectible Card Game
British National Team,1500,1,Hearthstone,Collectible Card Game
Czech National Team,1500,1,Hearthstone,Collectible Card Game
Danish National Team,1500,1,Hearthstone,Collectible Card Game
Finnish National Team,1500,1,Hearthstone,Collectible Card Game
Portugese National Team,1500,1,Hearthstone,Collectible Card Game
Spanish National Team,1500,1,Hearthstone,Collectible Card Game
Ukranian National Team,1500,1,Hearthstone,Collectible Card Game
Luminosity Gaming,1300,2,Hearthstone,Collectible Card Game
Wind and Rain,1217.78,1,Hearthstone,Collectible Card Game
Black Dragons e-Sports,1000,1,Hearthstone,Collectible Card Game
ePunks,800,1,Hearthstone,Collectible Card Game
Team Kinguin,750,1,Hearthstone,Collectible Card Game
Millenium,640.67,2,Hearthstone,Collectible Card Game
TCM Gaming,500,1,Hearthstone,Collectible Card Game
mousesports,416.84,3,Hearthstone,Collectible Card Game
Star Horn Royal Club,306,1,Hearthstone,Collectible Card Game
3DMAX,300,3,Hearthstone,Collectible Card Game
Team Acer,175,1,Hearthstone,Collectible Card Game
eStar Gaming,2613323.67,5,Arena of Valor,Multiplayer Online Battle Arena
Hero JiuJ,1104361.96,5,Arena of Valor,Multiplayer Online Battle Arena
Qiao Gu Reapers,951865.26,5,Arena of Valor,Multiplayer Online Battle Arena
Buriram United Esports,658817.54,7,Arena of Valor,Multiplayer Online Battle Arena
Royal Never Give Up,361620.46,4,Arena of Valor,Multiplayer Online Battle Arena
J Team,336308.02,3,Arena of Valor,Multiplayer Online Battle Arena
EDward Gaming,321077.65,5,Arena of Valor,Multiplayer Online Battle Arena
Bazaar Gaming,300325.26,7,Arena of Valor,Multiplayer Online Battle Arena
Vietnamese National Team,268500,3,Arena of Valor,Multiplayer Online Battle Arena
ahq e-Sports Club,267634.02,9,Arena of Valor,Multiplayer Online Battle Arena
Talon Esports,231691.7,4,Arena of Valor,Multiplayer Online Battle Arena
Triumphant Song Gaming,222943.81,2,Arena of Valor,Multiplayer Online Battle Arena
King of Gamers Club,211777.93,5,Arena of Valor,Multiplayer Online Battle Arena
Korean National Team,203000,1,Arena of Valor,Multiplayer Online Battle Arena
Flash Wolves,199461.65,4,Arena of Valor,Multiplayer Online Battle Arena
Taiwanese National Team,196000,3,Arena of Valor,Multiplayer Online Battle Arena
Thai National Team,187000,2,Arena of Valor,Multiplayer Online Battle Arena
DragonX,179170.89,6,Arena of Valor,Multiplayer Online Battle Arena
Rogue Warriors,165306.18,4,Arena of Valor,Multiplayer Online Battle Arena
Nova eSports,163317.81,8,Arena of Valor,Multiplayer Online Battle Arena
ROX Gaming,142889.92,5,Arena of Valor,Multiplayer Online Battle Arena
Hong Kong Attitude,111667.89,3,Arena of Valor,Multiplayer Online Battle Arena
EVOS,86596.83,6,Arena of Valor,Multiplayer Online Battle Arena
Chinese National Team,67500,3,Arena of Valor,Multiplayer Online Battle Arena
French National Team,50000,1,Arena of Valor,Multiplayer Online Battle Arena
MVP,41363.97,2,Arena of Valor,Multiplayer Online Battle Arena
Team Allegiance,40000,2,Arena of Valor,Multiplayer Online Battle Arena
American National Team,34500,2,Arena of Valor,Multiplayer Online Battle Arena
Immortals,31000,2,Arena of Valor,Multiplayer Online Battle Arena
GameTV,26615.4,2,Arena of Valor,Multiplayer Online Battle Arena
Team Queso,25000,2,Arena of Valor,Multiplayer Online Battle Arena
Actoz Stars,22250,1,Arena of Valor,Multiplayer Online Battle Arena
German National Team,20000,1,Arena of Valor,Multiplayer Online Battle Arena
Italian National Team,15000,1,Arena of Valor,Multiplayer Online Battle Arena
paiN Gaming,15000,1,Arena of Valor,Multiplayer Online Battle Arena
FlipSid3 Tactics,11000,2,Arena of Valor,Multiplayer Online Battle Arena
INTZ eSports,10000,1,Arena of Valor,Multiplayer Online Battle Arena
Spanish National Team,10000,1,Arena of Valor,Multiplayer Online Battle Arena
Team Flash,10000,1,Arena of Valor,Multiplayer Online Battle Arena
Team QLASH,10000,1,Arena of Valor,Multiplayer Online Battle Arena
Vitality,10000,1,Arena of Valor,Multiplayer Online Battle Arena
x6tence,10000,2,Arena of Valor,Multiplayer Online Battle Arena
MEGA Esports,6544.4,1,Arena of Valor,Multiplayer Online Battle Arena
Rex Regum Qeon,6286.8,2,Arena of Valor,Multiplayer Online Battle Arena
Alliance,4000,1,Arena of Valor,Multiplayer Online Battle Arena
Marines Esports,3429.6,1,Arena of Valor,Multiplayer Online Battle Arena
British National Team,2500,1,Arena of Valor,Multiplayer Online Battle Arena
Swedish National Team,2500,1,Arena of Valor,Multiplayer Online Battle Arena
